UKPRN	PROVIDER_NAME	ALIAS	FLAT_NAME_NUMBER	BUILDING_NAME_NUMBER	LOCALITY	STREET_NAME	TOWN	POSTCODE	WEBSITE_URL	PRIMARY_CONTACT_POSTCODE	WIKIPEDIA_URL	GROUPS	LONGITUDE	LATITUDE	EASTING	NORTHING	GTR_ID
10007157	UNIVERSITY OF SHEFFIELD					Western Bank	Sheffield	S10 2TN	http://www.shef.ac.uk/	S10 2TN	http://en.wikipedia.org/wiki/University_of_Sheffield	N8_Research_Partnership, White_Rose_University_Consortium, Russell_Group	-1.488709	53.381409	434108	387293	03D8AFBB-3EA5-4885-B036-BD4F9F4F9849
10002901	HARPER ADAMS UNIVERSITY COLLEGE				Edgmond		Newport	TF10 8NB	http://www.harper-adams.ac.uk/	TF10 8NB	http://en.wikipedia.org/wiki/Harper_Adams_University_College		-2.425380	52.780019	371404	320354	A9CA5E1C-DE53-4198-A3E4-F4764B5CB434
10007143	UNIVERSITY OF DURHAM	Durham University		PALATINE CENTRE		STOCKTON ROAD	DURHAM	DH1 3LE	http://www.dur.ac.uk/	DH1 3LE	http://en.wikipedia.org/wiki/Durham_University	N8_Research_Partnership, Russell_Group	-1.571868	54.768149	427644	541552	46B41008-0EB4-4E28-BBFB-E98366999EC5
10004797	NOTTINGHAM TRENT UNIVERSITY					BURTON STREET	NOTTINGHAM	NG1 4BU	http://www.ntu.ac.uk/	NG1 4BU	http://en.wikipedia.org/wiki/Nottingham_Trent_University	University_Alliance	-1.152002	52.956383	457065	340224	1529782F-9068-4364-888E-46E4FC4881F5
10007805	UNIVERSITY OF STRATHCLYDE			MCCANCE BUILDING 16		RICHMOND STREET	GLASGOW	G1 1XQ	http://www.strath.ac.uk/	G1 1XQ	http://en.wikipedia.org/wiki/University_of_Strathclyde		-4.244586	55.861363	259616	665410	5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850
10007764	HERIOT-WATT UNIVERSITY				Riccarton		Currie	EH14 4AS	http://www.hw.ac.uk/	EH14 4AS	http://en.wikipedia.org/wiki/Heriot-Watt_University		-3.320697	55.909398	317537	669266	E5A82D2C-5AD4-488A-ACFF-566345A5D6DA
10007137	THE UNIVERSITY OF CHICHESTER			Bishop Otter Campus		College Lane	Chichester	PO19 6PE	http://www.chi.ac.uk/	PO19 6PE	http://en.wikipedia.org/wiki/University_of_Chichester		-0.774409	50.844268	486383	105688	FA776DBE-78D5-49D0-AFA1-77BEC03EFF15
10007769	LONDON BUSINESS SCHOOL					Sussex Place	London	NW1 4SA	http://www.london.edu/	NW1 4SA	http://en.wikipedia.org/wiki/London_Business_School		-0.161353	51.526583	527645	182454	1211323E-1950-4CCC-8DCB-1490BD74D17F
10006840	UNIVERSITY OF BIRMINGHAM				Edgbaston		Birmingham	B15 2TT	http://www.birmingham.ac.uk/	B15 2TT	http://en.wikipedia.org/wiki/University_of_Birmingham	NCUK, Russell_Group	-1.930855	52.448986	404796	283448	818CD6C9-61EE-41F2-9F37-0C7A8F43E25D
10007842	THE UNIVERSITY OF CUMBRIA					FUSEHILL STREET	CARLISLE	CA1 2HH	http://www.cumbria.ac.uk/	CA1 2HH	http://en.wikipedia.org/wiki/University_of_Cumbria	Million_Plus	-2.921482	54.891124	340992	555542	ECA474B6-9AAC-445C-97E4-019D2A903C89
10007792	UNIVERSITY OF EXETER			Northcote House		The Queens Drive	Exeter	EX4 4QJ	http://www.exeter.ac.uk/	EX4 4QJ	http://en.wikipedia.org/wiki/University_of_Exeter	Russell_Group	-3.534370	50.735199	291819	93967	961756BF-E31F-4A13-836F-0A09BA02385C
10005790	SHEFFIELD HALLAM UNIVERSITY			CITY CAMPUS		POND STREET	SHEFFIELD	S1 1WB	http://www.shu.ac.uk/	S1 1WB	http://en.wikipedia.org/wiki/Sheffield_Hallam_University	University_Alliance	-1.465255	53.379212	435670	387060	52FDE897-E62F-4388-A588-9382D1E7C2D3
10007852	UNIVERSITY OF DUNDEE					Perth Road	Dundee	DD1 4HN	http://www.dundee.ac.uk/	DD1 4HN	http://en.wikipedia.org/wiki/University_of_Dundee		-2.978480	56.457200	339795	729880	90051600-6EF2-4093-BA8C-2B4B6F550895
10007776	ROEHAMPTON UNIVERSITY					Roehampton Lane	London	SW15 5PJ	http://www.roehampton.ac.uk/	SW15 5PU	http://en.wikipedia.org/wiki/Roehampton_University		-0.245983	51.455119	521965	174363	0107329B-F086-4C36-8652-5AF6752EC6DC
10005700	SRUC	Scotland's Rural College				KING'S BUILDINGS WEST MAINS ROAD	EDINBURGH	EH9 3JG	http://www.sac.ac.uk/	EH9 3JG	http://en.wikipedia.org/wiki/Scotland%27s_Rural_University_College		-3.176533	55.921607	326572	670462	ADA27054-A467-49BE-A71E-358C6062A9E3
10007159	UNIVERSITY OF SUNDERLAND					Chester Road	Sunderland	SR1 3SD	http://www.sunderland.ac.uk/	SR1 3SD	http://en.wikipedia.org/wiki/University_of_Sunderland	Million_Plus	-1.391361	54.904502	439126	556811	CDD64036-C7C4-4924-8321-6076FB363042
10000291	ANGLIA RUSKIN UNIVERSITY					Bishop Hall Lane	Chelmsford	CM1 1SQ	http://www.anglia.ac.uk/	CM1 1SQ	http://en.wikipedia.org/wiki/Anglia_Ruskin_University	Million_Plus	0.474311	51.741266	570928	207625	56F19F82-4654-46D6-891A-EA80CBC02587
10007766	INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON			20		Bedford Way	London	WC1H 0AL	http://www.ioe.ac.uk/	WC1H 0AL	http://en.wikipedia.org/wiki/Institute_of_Education	1994_Group	-0.128481	51.523473	529934	182166	0D34D81A-A62C-4B11-8A90-ACB670C0AE91
10007855	SWANSEA UNIVERSITY					Singleton Park	Swansea	SA2 8PP	http://www.swan.ac.uk/	SA2 8PP	http://en.wikipedia.org/wiki/Swansea_University		-3.980649	51.609622	262948	191946	AB307619-D4FA-427E-A042-09DBEBA84669
10005553	ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE	Royal Holloway, University of London				Egham Hill	Egham	TW20 0EX	http://www.rhul.ac.uk/	TW20 0EX	http://en.wikipedia.org/wiki/Royal_Holloway,_University_of_London	1994_Group	-0.567199	51.425323	499713	170564	A6D6F944-7BD0-49D0-8F3D-1D5B15E2E134
10007777	ROYAL COLLEGE OF ART(THE)					Kensington Gore	London	SW7 2EU	http://www.rca.ac.uk/	SW7 2EU	http://en.wikipedia.org/wiki/Royal_College_of_Art		-0.178449	51.501355	526529	179619	952043EA-E747-4132-B064-2CE0F7E61E93
10007822	CRANFIELD UNIVERSITY				Cranfield	College Road	Bedford	MK43 0AL	http://www.cranfield.ac.uk/	MK43 0AL	http://en.wikipedia.org/wiki/Cranfield_University		-0.628735	52.073929	494079	242615	F45A4578-F962-4EFA-9CC1-9F2FF4F760AE
10007767	UNIVERSITY OF KEELE	Keele University			Keele		Newcastle	ST5 5BG	http://www.keele.ac.uk/	ST5 5BG	http://en.wikipedia.org/wiki/Keele_University		-2.274598	53.003969	381670	345217	FC59975E-26E8-4A62-ABD8-A570DC6ABF06
10003863	LEEDS TRINITY UNIVERSITY COLLEGE				Horsforth	Brownberrie Lane	Leeds	LS18 5HD	http://www.leedstrinity.ac.uk/	LS18 5HD	http://en.wikipedia.org/wiki/Leeds_Trinity_University_College		-1.648100	53.848573	423249	439204	
